Date;Time;Turbidity
2015-04-10;6:00:49;201.19
2015-04-10;6:02:49;202.43
2015-04-10;6:04:49;201.26
2015-04-10;6:06:49;233.46
2015-04-10;6:08:49;269.81
2015-04-10;6:10:49;209.03
2015-04-10;6:12:49;203.42
2015-04-10;6:14:49;205.34
2015-04-10;6:16:49;203.56
2015-04-10;6:18:49;191.75
2015-04-10;6:20:49;186.54
2015-04-10;6:22:49;192.85
2015-04-10;6:24:49;194.10
2015-04-10;6:26:49;178.07
2015-04-10;6:28:49;180.55
2015-04-10;6:30:49;175.44
2015-04-10;6:32:49;184.02
2015-04-10;6:34:49;182.25
2015-04-10;6:36:49;172.36
2015-04-10;6:38:49;181.08
2015-04-10;6:40:49;180.09
2015-04-10;6:42:49;175.83
2015-04-10;6:44:49;181.65
2015-04-10;6:46:49;179.98
2015-04-10;6:48:49;186.79
2015-04-10;6:50:49;186.47
2015-04-10;6:52:49;184.02
2015-04-10;6:54:49;195.69
2015-04-10;6:56:49;179.31
2015-04-10;6:58:49;184.80
2015-04-10;7:00:49;185.09
2015-04-10;7:02:49;190.51
2015-04-10;7:04:49;192.14
2015-04-10;7:06:49;193.56
2015-04-10;7:08:49;201.33
2015-04-10;7:10:49;200.20
2015-04-10;7:12:49;203.42
2015-04-10;7:14:49;220.73
2015-04-10;7:16:49;217.25
2015-04-10;7:18:49;209.66
2015-04-10;7:20:49;255.80
2015-04-10;7:22:49;285.24
2015-04-10;7:24:49;229.77
2015-04-10;7:26:49;232.82
2015-04-10;7:28:49;255.55
2015-04-10;7:30:49;247.65
2015-04-10;7:32:49;246.72
2015-04-10;7:34:49;273.61
2015-04-10;7:36:49;272.51
2015-04-10;7:38:49;281.16
2015-04-10;7:40:49;291.09
2015-04-10;7:42:49;273.25
2015-04-10;7:44:49;288.54
2015-04-10;7:46:49;292.61
2015-04-10;7:48:49;300.91
2015-04-10;7:50:49;375.85
2015-04-10;7:52:49;308.89
2015-04-10;7:54:49;305.49
2015-04-10;7:56:49;312.58
2015-04-10;7:58:49;316.80
2015-04-10;8:00:49;341.17
2015-04-10;8:02:49;332.83
2015-04-10;8:04:49;386.38
2015-04-10;8:06:49;345.67
2015-04-10;8:08:49;348.29
2015-04-10;8:10:49;343.68
2015-04-10;8:12:49;349.11
2015-04-10;8:14:49;441.99
2015-04-10;8:16:49;368.05
2015-04-10;8:18:49;404.33
2015-04-10;8:20:49;351.59
2015-04-10;8:22:49;350.10
2015-04-10;8:24:49;364.82
2015-04-10;8:26:49;386.91
2015-04-10;8:28:49;377.05
2015-04-10;8:30:49;348.36
2015-04-10;8:32:49;340.63
2015-04-10;8:34:49;349.43
2015-04-10;8:36:49;384.22
2015-04-10;8:38:49;354.78
2015-04-10;8:40:49;360.35
2015-04-10;8:42:49;328.11
2015-04-10;8:44:49;345.46
2015-04-10;8:46:49;335.10
2015-04-10;8:48:49;324.25
2015-04-10;8:50:49;334.99
2015-04-10;8:52:49;358.33
2015-04-10;8:54:49;326.84
2015-04-10;8:56:49;360.28
2015-04-10;8:58:49;344.82
2015-04-10;9:00:49;329.99
2015-04-10;9:02:49;334.25
2015-04-10;9:04:49;368.26
2015-04-10;9:06:49;311.16
2015-04-10;9:08:49;366.34
2015-04-10;9:10:49;320.63
2015-04-10;9:12:49;375.25
2015-04-10;9:14:49;359.39
2015-04-10;9:16:49;309.00
2015-04-10;9:18:49;304.14
2015-04-10;9:20:49;305.70
2015-04-10;9:22:49;295.24
2015-04-10;9:24:49;298.93
2015-04-10;9:26:49;307.62
2015-04-10;9:28:49;300.95
2015-04-10;9:30:49;325.99
2015-04-10;9:32:49;266.37
2015-04-10;9:34:49;289.00
2015-04-10;9:36:49;251.72
2015-04-10;9:38:49;290.73
2015-04-10;9:40:49;262.36
2015-04-10;9:42:49;264.81
2015-04-10;9:44:49;270.77
2015-04-10;9:46:49;253.36
2015-04-10;9:48:49;255.31
2015-04-10;9:50:49;252.72
2015-04-10;9:52:49;252.79
2015-04-10;9:54:49;243.78
2015-04-10;9:56:49;245.02
2015-04-10;9:58:49;247.97
2015-04-10;10:00:49;246.69
2015-04-10;10:02:49;226.01
2015-04-10;10:04:49;237.01
2015-04-10;10:06:49;427.09
2015-04-10;10:08:49;222.93
2015-04-10;10:10:49;231.30
2015-04-10;10:12:49;220.59
2015-04-10;10:14:49;213.17
2015-04-10;10:16:49;215.09
2015-04-10;10:18:49;212.93
2015-04-10;10:20:49;216.26
2015-04-10;10:22:49;208.32
2015-04-10;10:24:49;212.08
2015-04-10;10:26:49;202.71
2015-04-10;10:28:49;267.93
2015-04-10;10:30:49;210.62
2015-04-10;10:32:49;210.02
2015-04-10;10:34:49;202.64
2015-04-10;10:36:49;192.14
2015-04-10;10:38:49;194.84
2015-04-10;10:40:49;197.71
2015-04-10;10:42:49;201.19
2015-04-10;10:44:49;197.78
2015-04-10;10:46:49;201.44
2015-04-10;10:48:49;184.09
2015-04-10;10:50:49;190.30
2015-04-10;10:52:49;182.60
2015-04-10;10:54:49;186.47
2015-04-10;10:56:49;186.79
2015-04-10;10:58:49;189.06
2015-04-10;11:00:49;184.24
2015-04-10;11:02:49;179.45
2015-04-10;11:04:49;176.47
2015-04-10;11:06:49;182.11
2015-04-10;11:08:49;214.95
2015-04-10;11:10:49;167.67
2015-04-10;11:12:49;174.09
2015-04-10;11:14:49;175.41
2015-04-10;11:16:49;177.14
2015-04-10;11:18:49;175.58
2015-04-10;11:20:49;167.36
2015-04-10;11:22:49;173.88
2015-04-10;11:24:49;173.46
2015-04-10;11:26:49;167.11
2015-04-10;11:28:49;169.48
2015-04-10;11:30:49;170.37
2015-04-10;11:32:49;164.98
2015-04-10;11:34:49;158.42
2015-04-10;11:36:49;156.01
2015-04-10;11:38:49;163.10
2015-04-10;11:40:49;158.56
2015-04-10;11:42:49;156.89
2015-04-10;11:44:49;162.64
2015-04-10;11:46:49;157.74
2015-04-10;11:48:49;167.57
2015-04-10;11:50:49;159.48
2015-04-10;11:52:49;164.38
2015-04-10;11:54:49;154.27
2015-04-10;11:56:49;160.83
2015-04-10;11:58:49;166.40
2015-04-10;12:00:49;161.61
2015-04-10;12:02:49;161.08
2015-04-10;12:04:49;159.45
2015-04-10;12:06:49;169.23
2015-04-10;12:08:49;160.51
2015-04-10;12:10:49;158.06
2015-04-10;12:12:49;166.58
2015-04-10;12:14:49;176.26
2015-04-10;12:16:49;185.30
2015-04-10;12:18:49;202.15
2015-04-10;12:20:49;206.79
2015-04-10;12:22:49;213.07
2015-04-10;12:24:49;186.33
2015-04-10;12:26:49;182.50
2015-04-10;12:28:49;188.14
2015-04-10;12:30:49;167.57
2015-04-10;12:32:49;169.23
2015-04-10;12:34:49;159.16
2015-04-10;12:36:49;165.48
2015-04-10;12:38:49;154.34
2015-04-10;12:40:49;151.86
2015-04-10;12:42:49;156.22
2015-04-10;12:44:49;153.81
2015-04-10;12:46:49;149.73
2015-04-10;12:48:49;154.73
2015-04-10;12:50:49;162.35
2015-04-10;12:52:49;160.05
2015-04-10;12:54:49;158.10
2015-04-10;12:56:49;151.93
2015-04-10;12:58:49;158.52
2015-04-10;13:00:49;163.67
